timestamp,machine_id,machine_type,energy_kwh,production_units,temperature_c,operating_hours,machine_status,energy_cost_inr,is_anomaly
2026-08-26 05:00:00,M-003,Compressor,10.05,6.45,64.2,0.2,Idle,80.4,False
2026-08-26 05:00:00,M-004,Hydraulic Press,8.16,9.6,58.14,0.2,Idle,65.28,False
2026-08-26 05:00:00,M-005,Cooling System,5.76,5.49,50.16,0.2,Idle,46.08,False
2026-08-26 06:00:00,M-001,CNC Machine,6.1,9.44,54.36,0.2,Idle,48.8,False
2026-08-26 06:00:00,M-002,Industrial Motor,7.04,10.22,60.45,0.2,Idle,56.32,False
2026-08-26 06:00:00,M-003,Compressor,9.4,7.73,64.37,0.2,Idle,75.2,False
2026-08-26 06:00:00,M-004,Hydraulic Press,9.42,10.21,55.53,0.2,Idle,75.36,False
2026-08-26 06:00:00,M-005,Cooling System,5.78,5.37,52.59,0.2,Idle,46.24,False
2026-08-26 07:00:00,M-001,CNC Machine,32.67,42.84,53.64,1.0,Running,261.36,False
2026-08-26 07:00:00,M-002,Industrial Motor,38.67,48.89,58.57,1.0,Running,309.36,False
2026-08-26 07:00:00,M-003,Compressor,53.48,40.22,61.62,1.0,Running,427.84,False
2026-08-26 07:00:00,M-004,Hydraulic Press,42.37,52.63,59.57,1.0,Running,338.96,False
2026-08-26 07:00:00,M-005,Cooling System,26.62,32.78,53.93,1.0,Running,212.96,False
2026-08-26 08:00:00,M-001,CNC Machine,33.58,43.39,58.79,1.0,Running,268.64,False
2026-08-26 08:00:00,M-002,Industrial Motor,36.28,47.06,58.22,1.0,Running,290.24,False
2026-08-26 08:00:00,M-003,Compressor,51.76,32.72,64.68,1.0,Running,414.08,False
2026-08-26 08:00:00,M-004,Hydraulic Press,47.23,51.11,58.03,1.0,Running,377.84,False
2026-08-26 08:00:00,M-005,Cooling System,27.56,33.49,57.44,1.0,Running,220.48,False
2026-08-26 09:00:00,M-001,CNC Machine,30.35,44.1,52.86,1.0,Running,242.8,False
2026-08-26 09:00:00,M-002,Industrial Motor,37.49,49.85,61.43,1.0,Running,299.92,False
2026-08-26 09:00:00,M-003,Compressor,51.77,36.33,62.31,1.0,Running,414.16,False
2026-08-26 09:00:00,M-004,Hydraulic Press,43.79,43.94,59.71,1.0,Running,350.32,False
2026-08-26 09:00:00,M-005,Cooling System,25.91,30.51,52.35,1.0,Running,207.28,False
2026-08-26 10:00:00,M-001,CNC Machine,30.3,43.29,55.31,1.0,Running,242.4,False
2026-08-26 10:00:00,M-002,Industrial Motor,35.39,48.22,60.72,1.0,Running,283.12,False
2026-08-26 10:00:00,M-003,Compressor,55.38,36.57,66.11,1.0,Running,443.04,False
2026-08-26 10:00:00,M-004,Hydraulic Press,42.47,44.49,59.03,1.0,Running,339.76,False
2026-08-26 10:00:00,M-005,Cooling System,28.87,31.23,59.71,1.0,Running,230.96,False
2026-08-26 11:00:00,M-001,CNC Machine,34.18,43.92,56.91,1.0,Running,273.44,False
2026-08-26 11:00:00,M-002,Industrial Motor,37.28,50.5,61.52,1.0,Running,298.24,False
2026-08-26 11:00:00,M-003,Compressor,51.26,32.84,63.03,1.0,Running,410.08,False
2026-08-26 11:00:00,M-004,Hydraulic Press,51.25,50.33,54.27,1.0,Running,410.0,False
2026-08-26 11:00:00,M-005,Cooling System,25.29,31.65,51.06,1.0,Running,202.32,False
2026-08-26 12:00:00,M-001,CNC Machine,32.12,45.66,52.84,1.0,Running,256.96,False
2026-08-26 12:00:00,M-002,Industrial Motor,39.55,45.25,58.54,1.0,Running,316.4,False
2026-08-26 12:00:00,M-003,Compressor,52.14,35.61,62.7,1.0,Running,417.12,False
2026-08-26 12:00:00,M-004,Hydraulic Press,46.71,58.58,53.95,1.0,Running,373.68,False
2026-08-26 12:00:00,M-005,Cooling System,26.89,30.45,53.7,1.0,Running,215.12,False
2026-08-26 13:00:00,M-001,CNC Machine,31.78,39.34,56.01,1.0,Running,254.24,False
2026-08-26 13:00:00,M-002,Industrial Motor,35.26,51.32,59.33,1.0,Running,282.08,False
2026-08-26 13:00:00,M-003,Compressor,49.96,33.67,67.53,1.0,Running,399.68,False
2026-08-26 13:00:00,M-004,Hydraulic Press,41.6,51.62,59.84,1.0,Running,332.8,False
2026-08-26 13:00:00,M-005,Cooling System,29.73,35.09,48.96,1.0,Running,237.84,False
2026-08-26 14:00:00,M-001,CNC Machine,34.43,40.37,53.58,1.0,Running,275.44,False
2026-08-26 14:00:00,M-002,Industrial Motor,57.66,44.73,65.15,1.0,Running,461.28,True
2026-08-26 14:00:00,M-003,Compressor,41.89,34.83,61.95,1.0,Running,335.12,False
2026-08-26 14:00:00,M-004,Hydraulic Press,41.63,48.99,61.26,1.0,Running,333.04,False
2026-08-26 14:00:00,M-005,Cooling System,27.26,26.57,52.26,1.0,Running,218.08,False
2026-08-26 15:00:00,M-001,CNC Machine,29.24,46.84,57.33,1.0,Running,233.92,False
2026-08-26 15:00:00,M-002,Industrial Motor,51.86,43.24,67.92,1.0,Running,414.88,True
2026-08-26 15:00:00,M-003,Compressor,50.13,35.56,64.14,1.0,Running,401.04,False
2026-08-26 15:00:00,M-004,Hydraulic Press,45.31,48.46,59.32,1.0,Running,362.48,False
2026-08-26 15:00:00,M-005,Cooling System,25.92,33.81,56.27,1.0,Running,207.36,False
2026-08-26 16:00:00,M-001,CNC Machine,31.71,35.44,56.18,1.0,Running,253.68,False
2026-08-26 16:00:00,M-002,Industrial Motor,53.04,44.17,66.58,1.0,Running,424.32,True
2026-08-26 16:00:00,M-003,Compressor,50.16,33.62,65.7,1.0,Running,401.28,False
2026-08-26 16:00:00,M-004,Hydraulic Press,43.13,51.43,59.8,1.0,Running,345.04,False
2026-08-26 16:00:00,M-005,Cooling System,29.37,30.74,53.26,1.0,Running,234.96,False
2026-08-26 17:00:00,M-001,CNC Machine,30.92,39.21,56.49,1.0,Running,247.36,False
2026-08-26 17:00:00,M-002,Industrial Motor,55.03,45.31,67.23,1.0,Running,440.24,True
2026-08-26 17:00:00,M-003,Compressor,50.15,38.58,65.09,1.0,Running,401.2,False
2026-08-26 17:00:00,M-004,Hydraulic Press,44.41,49.19,60.2,1.0,Running,355.28,False
2026-08-26 17:00:00,M-005,Cooling System,29.37,31.98,54.61,1.0,Running,234.96,False
2026-08-26 18:00:00,M-001,CNC Machine,33.31,42.07,54.38,1.0,Running,266.48,False
2026-08-26 18:00:00,M-002,Industrial Motor,37.7,49.24,60.19,1.0,Running,301.6,False
2026-08-26 18:00:00,M-003,Compressor,49.45,36.67,68.18,1.0,Running,395.6,False
2026-08-26 18:00:00,M-004,Hydraulic Press,41.72,45.98,60.32,1.0,Running,333.76,False
2026-08-26 18:00:00,M-005,Cooling System,29.05,31.9,53.26,1.0,Running,232.4,False
2026-08-26 19:00:00,M-001,CNC Machine,30.28,41.96,55.15,1.0,Running,242.24,False
2026-08-26 19:00:00,M-002,Industrial Motor,40.22,45.4,59.71,1.0,Running,321.76,False
2026-08-26 19:00:00,M-003,Compressor,51.0,32.69,64.83,1.0,Running,408.0,False
2026-08-26 19:00:00,M-004,Hydraulic Press,42.78,47.75,58.49,1.0,Running,342.24,False
2026-08-26 19:00:00,M-005,Cooling System,27.15,30.59,51.06,1.0,Running,217.2,False
2026-08-26 20:00:00,M-001,CNC Machine,5.84,8.56,52.19,0.2,Idle,46.72,False
2026-08-26 20:00:00,M-002,Industrial Motor,7.5,9.05,60.62,0.2,Idle,60.0,False
2026-08-26 20:00:00,M-003,Compressor,10.94,7.83,63.68,0.2,Idle,87.52,False
2026-08-26 20:00:00,M-004,Hydraulic Press,8.46,9.98,57.96,0.2,Idle,67.68,False
2026-08-26 20:00:00,M-005,Cooling System,5.71,5.86,50.35,0.2,Idle,45.68,False
2026-08-26 21:00:00,M-001,CNC Machine,6.99,8.75,54.78,0.2,Idle,55.92,False
2026-08-26 21:00:00,M-002,Industrial Motor,7.91,9.91,59.2,0.2,Idle,63.28,False
2026-08-26 21:00:00,M-003,Compressor,10.41,7.13,64.2,0.2,Idle,83.28,False
2026-08-26 21:00:00,M-004,Hydraulic Press,9.01,9.38,59.0,0.2,Idle,72.08,False
2026-08-26 21:00:00,M-005,Cooling System,5.92,6.7,56.31,0.2,Idle,47.36,False
2026-08-26 22:00:00,M-001,CNC Machine,6.73,7.88,55.37,0.2,Idle,53.84,False
2026-08-26 22:00:00,M-002,Industrial Motor,7.23,11.28,58.32,0.2,Idle,57.84,False
2026-08-26 22:00:00,M-003,Compressor,9.07,6.66,62.95,0.2,Idle,72.56,False
2026-08-26 22:00:00,M-004,Hydraulic Press,9.08,9.39,58.68,0.2,Idle,72.64,False
2026-08-26 22:00:00,M-005,Cooling System,5.92,6.9,50.85,0.2,Idle,47.36,False
2026-08-26 23:00:00,M-001,CNC Machine,6.59,7.8,52.36,0.2,Idle,52.72,False
2026-08-26 23:00:00,M-002,Industrial Motor,8.14,11.01,59.06,0.2,Idle,65.12,False
2026-08-26 23:00:00,M-003,Compressor,11.24,6.04,63.77,0.2,Idle,89.92,False
2026-08-26 23:00:00,M-004,Hydraulic Press,8.14,10.99,56.8,0.2,Idle,65.12,False
2026-08-26 23:00:00,M-005,Cooling System,5.62,6.0,51.1,0.2,Idle,44.96,False
2026-08-27 00:00:00,M-001,CNC Machine,5.99,8.82,54.72,0.2,Idle,47.92,False
2026-08-27 00:00:00,M-002,Industrial Motor,7.83,9.69,61.42,0.2,Idle,62.64,False
2026-08-27 00:00:00,M-003,Compressor,9.44,6.37,66.56,0.2,Idle,75.52,False
2026-08-27 00:00:00,M-004,Hydraulic Press,8.6,10.27,61.1,0.2,Idle,68.8,False
2026-08-27 00:00:00,M-005,Cooling System,6.0,6.06,52.14,0.2,Idle,48.0,False
2026-08-27 01:00:00,M-001,CNC Machine,7.07,9.78,54.5,0.2,Idle,56.56,False
2026-08-27 01:00:00,M-002,Industrial Motor,7.89,10.35,62.74,0.2,Idle,63.12,False
2026-08-27 01:00:00,M-003,Compressor,10.83,6.46,66.12,0.2,Idle,86.64,False
2026-08-27 01:00:00,M-004,Hydraulic Press,8.36,8.59,53.92,0.2,Idle,66.88,False
2026-08-27 01:00:00,M-005,Cooling System,5.84,5.87,55.0,0.2,Idle,46.72,False
2026-08-27 02:00:00,M-001,CNC Machine,7.03,8.45,52.24,0.2,Idle,56.24,False
2026-08-27 02:00:00,M-002,Industrial Motor,7.57,8.29,60.77,0.2,Idle,60.56,False
2026-08-27 02:00:00,M-003,Compressor,9.11,6.98,63.82,0.2,Idle,72.88,False
2026-08-27 02:00:00,M-004,Hydraulic Press,9.36,8.96,58.73,0.2,Idle,74.88,False
2026-08-27 02:00:00,M-005,Cooling System,5.43,5.55,49.88,0.2,Idle,43.44,False
2026-08-27 03:00:00,M-001,CNC Machine,6.77,8.36,53.03,0.2,Idle,54.16,False
2026-08-27 03:00:00,M-002,Industrial Motor,7.36,9.99,58.41,0.2,Idle,58.88,False
2026-08-27 03:00:00,M-003,Compressor,9.75,6.94,62.89,0.2,Idle,78.0,False
2026-08-27 03:00:00,M-004,Hydraulic Press,10.06,9.04,58.07,0.2,Idle,80.48,False
2026-08-27 03:00:00,M-005,Cooling System,5.67,5.66,51.78,0.2,Idle,45.36,False
2026-08-27 04:00:00,M-001,CNC Machine,6.64,8.25,56.52,0.2,Idle,53.12,False
2026-08-27 04:00:00,M-002,Industrial Motor,7.34,9.19,59.45,0.2,Idle,58.72,False
2026-08-27 04:00:00,M-003,Compressor,9.45,5.71,66.73,0.2,Idle,75.6,False
2026-08-27 04:00:00,M-004,Hydraulic Press,8.87,11.32,59.15,0.2,Idle,70.96,False
2026-08-27 04:00:00,M-005,Cooling System,6.63,6.15,54.24,0.2,Idle,53.04,False
2026-08-27 05:00:00,M-001,CNC Machine,6.03,8.31,51.79,0.2,Idle,48.24,False
2026-08-27 05:00:00,M-002,Industrial Motor,7.26,9.76,57.16,0.2,Idle,58.08,False
2026-08-27 05:00:00,M-003,Compressor,9.73,6.64,67.37,0.2,Idle,77.84,False
2026-08-27 05:00:00,M-004,Hydraulic Press,9.0,10.71,60.96,0.2,Idle,72.0,False
2026-08-27 05:00:00,M-005,Cooling System,5.31,6.04,55.05,0.2,Idle,42.48,False
2026-08-27 06:00:00,M-001,CNC Machine,6.0,8.76,54.62,0.2,Idle,48.0,False
2026-08-27 06:00:00,M-002,Industrial Motor,6.97,8.93,61.85,0.2,Idle,55.76,False
2026-08-27 06:00:00,M-003,Compressor,9.53,8.07,65.13,0.2,Idle,76.24,False
2026-08-27 06:00:00,M-004,Hydraulic Press,8.74,9.48,56.82,0.2,Idle,69.92,False
2026-08-27 06:00:00,M-005,Cooling System,5.62,5.59,50.34,0.2,Idle,44.96,False
2026-08-27 07:00:00,M-001,CNC Machine,31.9,42.91,54.52,1.0,Running,255.2,False
2026-08-27 07:00:00,M-002,Industrial Motor,36.68,44.51,61.51,1.0,Running,293.44,False
2026-08-27 07:00:00,M-003,Compressor,48.95,36.4,64.2,1.0,Running,391.6,False
2026-08-27 07:00:00,M-004,Hydraulic Press,40.49,53.01,59.09,1.0,Running,323.92,False
2026-08-27 07:00:00,M-005,Cooling System,28.96,28.41,50.47,1.0,Running,231.68,False
2026-08-27 08:00:00,M-001,CNC Machine,28.88,35.94,55.1,1.0,Running,231.04,False
2026-08-27 08:00:00,M-002,Industrial Motor,35.94,49.0,61.28,1.0,Running,287.52,False
2026-08-27 08:00:00,M-003,Compressor,51.79,30.35,61.58,1.0,Running,414.32,False
2026-08-27 08:00:00,M-004,Hydraulic Press,45.13,47.39,56.28,1.0,Running,361.04,False
2026-08-27 08:00:00,M-005,Cooling System,29.69,29.08,50.85,1.0,Running,237.52,False
2026-08-27 09:00:00,M-001,CNC Machine,29.83,44.81,56.06,1.0,Running,238.64,False
2026-08-27 09:00:00,M-002,Industrial Motor,32.36,53.54,58.41,1.0,Running,258.88,False
2026-08-27 09:00:00,M-003,Compressor,51.37,36.62,64.74,1.0,Running,410.96,False
2026-08-27 09:00:00,M-004,Hydraulic Press,45.23,47.58,57.69,1.0,Running,361.84,False
2026-08-27 09:00:00,M-005,Cooling System,28.43,32.8,52.68,1.0,Running,227.44,False
2026-08-27 10:00:00,M-001,CNC Machine,31.06,40.62,54.13,1.0,Running,248.48,False
2026-08-27 10:00:00,M-002,Industrial Motor,37.04,49.51,60.58,1.0,Running,296.32,False
2026-08-27 10:00:00,M-003,Compressor,54.72,40.81,63.35,1.0,Running,437.76,False
2026-08-27 10:00:00,M-004,Hydraulic Press,43.9,54.8,53.92,1.0,Running,351.2,False
2026-08-27 10:00:00,M-005,Cooling System,24.86,27.58,51.3,1.0,Running,198.88,False
2026-08-27 11:00:00,M-001,CNC Machine,35.22,42.06,55.65,1.0,Running,281.76,False
2026-08-27 11:00:00,M-002,Industrial Motor,39.89,47.16,55.58,1.0,Running,319.12,False
2026-08-27 11:00:00,M-003,Compressor,89.77,30.31,71.04,1.0,Running,718.16,True
2026-08-27 11:00:00,M-004,Hydraulic Press,45.91,54.58,57.17,1.0,Running,367.28,False
2026-08-27 11:00:00,M-005,Cooling System,31.81,31.52,52.36,1.0,Running,254.48,False
2026-08-27 12:00:00,M-001,CNC Machine,31.12,42.83,53.3,1.0,Running,248.96,False
2026-08-27 12:00:00,M-002,Industrial Motor,36.05,51.19,60.14,1.0,Running,288.4,False
2026-08-27 12:00:00,M-003,Compressor,88.27,28.61,74.67,1.0,Running,706.16,True
2026-08-27 12:00:00,M-004,Hydraulic Press,43.62,54.15,57.46,1.0,Running,348.96,False
2026-08-27 12:00:00,M-005,Cooling System,27.25,27.65,52.75,1.0,Running,218.0,False
2026-08-27 13:00:00,M-001,CNC Machine,30.23,44.54,56.74,1.0,Running,241.84,False
2026-08-27 13:00:00,M-002,Industrial Motor,38.94,53.21,63.75,1.0,Running,311.52,False
2026-08-27 13:00:00,M-003,Compressor,79.39,27.91,70.44,1.0,Running,635.12,True
2026-08-27 13:00:00,M-004,Hydraulic Press,46.77,55.98,57.89,1.0,Running,374.16,False
2026-08-27 13:00:00,M-005,Cooling System,26.11,30.67,56.89,1.0,Running,208.88,False
2026-08-27 14:00:00,M-001,CNC Machine,32.21,42.43,56.45,1.0,Running,257.68,False
2026-08-27 14:00:00,M-002,Industrial Motor,38.51,49.85,58.42,1.0,Running,308.08,False
2026-08-27 14:00:00,M-003,Compressor,95.49,30.87,76.69,1.0,Running,763.92,True
2026-08-27 14:00:00,M-004,Hydraulic Press,43.62,56.37,56.02,1.0,Running,348.96,False
2026-08-27 14:00:00,M-005,Cooling System,28.09,29.7,54.19,1.0,Running,224.72,False
2026-08-27 15:00:00,M-001,CNC Machine,34.94,36.31,54.68,1.0,Running,279.52,False
2026-08-27 15:00:00,M-002,Industrial Motor,35.69,46.36,56.69,1.0,Running,285.52,False
2026-08-27 15:00:00,M-003,Compressor,86.18,31.71,71.42,1.0,Running,689.44,True
2026-08-27 15:00:00,M-004,Hydraulic Press,44.09,44.82,61.34,1.0,Running,352.72,False
2026-08-27 15:00:00,M-005,Cooling System,25.47,29.38,51.51,1.0,Running,203.76,False
2026-08-27 16:00:00,M-001,CNC Machine,26.82,41.08,54.89,1.0,Running,214.56,False
2026-08-27 16:00:00,M-002,Industrial Motor,39.59,47.11,63.7,1.0,Running,316.72,False
2026-08-27 16:00:00,M-003,Compressor,84.42,32.43,71.79,1.0,Running,675.36,True
2026-08-27 16:00:00,M-004,Hydraulic Press,45.16,60.29,58.03,1.0,Running,361.28,False
2026-08-27 16:00:00,M-005,Cooling System,28.33,29.94,51.71,1.0,Running,226.64,False
2026-08-27 17:00:00,M-001,CNC Machine,30.95,40.07,54.93,1.0,Running,247.6,False
2026-08-27 17:00:00,M-002,Industrial Motor,36.37,45.91,60.21,1.0,Running,290.96,False
2026-08-27 17:00:00,M-003,Compressor,56.69,34.29,58.7,1.0,Running,453.52,False
2026-08-27 17:00:00,M-004,Hydraulic Press,48.36,54.37,53.85,1.0,Running,386.88,False
2026-08-27 17:00:00,M-005,Cooling System,27.38,29.18,49.18,1.0,Running,219.04,False
2026-08-27 18:00:00,M-001,CNC Machine,29.87,39.39,58.5,1.0,Running,238.96,False
2026-08-27 18:00:00,M-002,Industrial Motor,40.9,51.59,61.44,1.0,Running,327.2,False
2026-08-27 18:00:00,M-003,Compressor,50.36,31.84,64.98,1.0,Running,402.88,False
2026-08-27 18:00:00,M-004,Hydraulic Press,46.93,45.11,57.52,1.0,Running,375.44,False
2026-08-27 18:00:00,M-005,Cooling System,29.19,29.1,52.89,1.0,Running,233.52,False
2026-08-27 19:00:00,M-001,CNC Machine,34.23,40.79,52.84,1.0,Running,273.84,False
2026-08-27 19:00:00,M-002,Industrial Motor,39.35,50.37,59.38,1.0,Running,314.8,False
2026-08-27 19:00:00,M-003,Compressor,48.1,35.91,65.85,1.0,Running,384.8,False
2026-08-27 19:00:00,M-004,Hydraulic Press,43.59,49.26,60.1,1.0,Running,348.72,False
2026-08-27 19:00:00,M-005,Cooling System,25.63,28.31,48.89,1.0,Running,205.04,False
2026-08-27 20:00:00,M-001,CNC Machine,5.91,8.81,58.51,0.2,Idle,47.28,False
2026-08-27 20:00:00,M-002,Industrial Motor,8.37,8.0,60.42,0.2,Idle,66.96,False
2026-08-27 20:00:00,M-003,Compressor,10.06,6.95,64.8,0.2,Idle,80.48,False
2026-08-27 20:00:00,M-004,Hydraulic Press,9.6,9.97,58.23,0.2,Idle,76.8,False
2026-08-27 20:00:00,M-005,Cooling System,5.48,6.07,51.89,0.2,Idle,43.84,False
2026-08-27 21:00:00,M-001,CNC Machine,5.74,8.61,52.3,0.2,Idle,45.92,False
2026-08-27 21:00:00,M-002,Industrial Motor,7.68,10.17,59.63,0.2,Idle,61.44,False
2026-08-27 21:00:00,M-003,Compressor,10.62,7.01,62.92,0.2,Idle,84.96,False
2026-08-27 21:00:00,M-004,Hydraulic Press,9.11,9.38,56.04,0.2,Idle,72.88,False
2026-08-27 21:00:00,M-005,Cooling System,5.03,6.2,54.06,0.2,Idle,40.24,False
2026-08-27 22:00:00,M-001,CNC Machine,6.5,8.72,56.97,0.2,Idle,52.0,False
2026-08-27 22:00:00,M-002,Industrial Motor,8.06,10.88,56.32,0.2,Idle,64.48,False
2026-08-27 22:00:00,M-003,Compressor,10.01,6.28,64.05,0.2,Idle,80.08,False
2026-08-27 22:00:00,M-004,Hydraulic Press,8.61,10.41,58.37,0.2,Idle,68.88,False
2026-08-27 22:00:00,M-005,Cooling System,5.39,5.64,49.19,0.2,Idle,43.12,False
2026-08-27 23:00:00,M-001,CNC Machine,5.88,7.78,53.05,0.2,Idle,47.04,False
2026-08-27 23:00:00,M-002,Industrial Motor,7.17,10.41,65.26,0.2,Idle,57.36,False
2026-08-27 23:00:00,M-003,Compressor,10.52,7.28,62.28,0.2,Idle,84.16,False
2026-08-27 23:00:00,M-004,Hydraulic Press,8.69,10.56,58.24,0.2,Idle,69.52,False
2026-08-27 23:00:00,M-005,Cooling System,5.57,7.23,54.3,0.2,Idle,44.56,False
2026-08-28 00:00:00,M-001,CNC Machine,6.39,7.93,58.54,0.2,Idle,51.12,False
2026-08-28 00:00:00,M-002,Industrial Motor,8.43,9.12,61.42,0.2,Idle,67.44,False
2026-08-28 00:00:00,M-003,Compressor,10.79,6.69,65.95,0.2,Idle,86.32,False
2026-08-28 00:00:00,M-004,Hydraulic Press,8.15,10.5,56.55,0.2,Idle,65.2,False
2026-08-28 00:00:00,M-005,Cooling System,5.57,5.88,53.24,0.2,Idle,44.56,False
2026-08-28 01:00:00,M-001,CNC Machine,5.89,8.52,55.76,0.2,Idle,47.12,False
2026-08-28 01:00:00,M-002,Industrial Motor,7.86,10.07,62.16,0.2,Idle,62.88,False
2026-08-28 01:00:00,M-003,Compressor,10.69,7.47,63.86,0.2,Idle,85.52,False
2026-08-28 01:00:00,M-004,Hydraulic Press,9.23,8.67,58.42,0.2,Idle,73.84,False
2026-08-28 01:00:00,M-005,Cooling System,5.17,6.13,49.84,0.2,Idle,41.36,False
2026-08-28 02:00:00,M-001,CNC Machine,6.38,9.11,56.36,0.2,Idle,51.04,False
2026-08-28 02:00:00,M-002,Industrial Motor,7.61,9.62,61.88,0.2,Idle,60.88,False
2026-08-28 02:00:00,M-003,Compressor,10.46,6.71,63.08,0.2,Idle,83.68,False
2026-08-28 02:00:00,M-004,Hydraulic Press,8.83,9.65,58.44,0.2,Idle,70.64,False
2026-08-28 02:00:00,M-005,Cooling System,6.02,5.77,50.21,0.2,Idle,48.16,False
2026-08-28 03:00:00,M-001,CNC Machine,6.23,8.27,57.89,0.2,Idle,49.84,False
2026-08-28 03:00:00,M-002,Industrial Motor,8.07,9.75,57.03,0.2,Idle,64.56,False
2026-08-28 03:00:00,M-003,Compressor,10.96,7.15,64.16,0.2,Idle,87.68,False
2026-08-28 03:00:00,M-004,Hydraulic Press,8.72,10.85,60.82,0.2,Idle,69.76,False
2026-08-28 03:00:00,M-005,Cooling System,5.48,7.1,51.11,0.2,Idle,43.84,False
2026-08-28 04:00:00,M-001,CNC Machine,7.01,9.38,53.95,0.2,Idle,56.08,False
2026-08-28 04:00:00,M-002,Industrial Motor,7.47,9.28,57.31,0.2,Idle,59.76,False
2026-08-28 04:00:00,M-003,Compressor,9.77,6.49,62.46,0.2,Idle,78.16,False
2026-08-28 04:00:00,M-004,Hydraulic Press,9.13,9.97,61.1,0.2,Idle,73.04,False
2026-08-28 04:00:00,M-005,Cooling System,5.93,5.52,51.57,0.2,Idle,47.44,False
